"participant_id","pilotNumber","demo_gend","demo_educ","demo_occu","demo_reve","demo_degre","demo_cours","demo_lsat","demo_age","spanLength","treatment","isLotteryFirst","completionCountLottery","completionCountMirror","wrongAnswerCountLottery","wrongAnswerCountMirror","noSwitchCounter","noSwitchCounterFirstPart","noSwitchCounterSecondPart","noSwitchCounterLottery","noSwitchCounterMirror","payment_spanMpl","payment_spanSpan","payment_calibration","payment_total","mplType","mirror_ev","mirror_rtChoice","mirror_subBlockNumber","mirror_accuracy","mirror_rtSpanMpl","mirror_EGEmpirical","mirror_noSwitch","mirror_noSwitchSure","mirror_noSwitchLottery","lottery_ev","lottery_rtChoice","lottery_subBlockNumber","lottery_accuracy","lottery_rtSpanMpl","lottery_EGEmpirical","lottery_noSwitch","lottery_noSwitchSure","lottery_noSwitchLottery","mirror_position","lottery_position","pred","prob","multiplier","aboveMedRtChoice","aboveMedImpactCogLoad"
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"G10",1.1,16613.7000000002,7,1,1702.30000000028,7.42777777777778,0,0,0,1.9,19378,7,1,1789.90000000037,7.65,0,0,0,"low","low",2.5,10,1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"G25",3.7,5200.39999999991,4,1,2142,10.5,1,1,0,5.3,13860.8999999999,4,1,1757.70000000019,11.2777777777778,0,0,0,"low","low",6.3,25,1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"G50",9.7,3532.20000000019,8,0,2238,16.5,1,1,0,9.7,4484,8,1,1622,16.5,1,1,0,"low","low",12.5,50,-1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"G75",16.1,3246.80000000028,2,1,2062,22.9,1,1,0,16.1,3370.89999999991,12,1,1470.10000000009,22.9,1,1,0,"low","low",18.7,75,-1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"G90",20.1,4176.30000000028,5,1,1525.89999999991,26.9,1,1,0,20.1,5005.10000000009,5,1,1150.30000000028,26.9,1,1,0,"low","low",22.5,90,-1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"L10",-3.7,5151.29999999981,1,1,7694,28.1,1,1,0,-3.7,5834.59999999963,10,1,1286.19999999972,28.1,1,1,0,"high","high",-2.5,10,-1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"L25",-7.3,3741.70000000019,3,1,1702,24.5,1,1,0,-7.3,5169.90000000037,3,1,2142.10000000009,24.5,1,1,0,"high","high",-6.3,25,-1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"L50",-13.3,4136.89999999991,6,1,1590.19999999972,18.5,1,1,0,-13.3,9512.79999999981,1,1,2030,18.5,1,1,0,"high","high",-12.5,50,1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"L75",-19.7,5080.29999999981,12,1,1270.20000000019,12.1,1,1,0,-17.5,30004.2999999998,11,1,1962.20000000019,12.0083333333333,0,0,0,"high","high",-18.7,75,1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"L90",-23.7,4120.89999999991,9,1,1374,8.1,1,1,0,-20.1,13746.9000000004,6,1,1958.19999999972,7.5,1,0,1,"high","high",-22.5,90,1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"A10",5,9793.89999999991,11,1,1165.79999999981,14.5,1,0,1,-4,5450.70000000019,9,1,1501.89999999991,15,1,1,0,"low","low",0,50,-1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"A15",-5,8643.39999999991,10,1,1390.19999999972,20,1,1,0,-5,20706.0999999996,2,1,1749.80000000028,20,1,1,0,"high","high",0,50,-1,0,0
"rngkquxtmfkk8uk",3,"Femme","Diplôme d'études secondaires ou équivalent (ex.: BEP/CAP)","Employé·e à temps partiel (jusqu'à 34h par semaine)","Entre 500 € et 1000 €","Non","Non","7",44,8,"easy",TRUE,2,4,2,9,26,12,14,12,14,3.3,1,1,31.3,"GS10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,10,1,0,0
